Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,9/28/2024 18:32,FALSE,Centennial Running,8.05,744,0:50:00,176,190,174,182,6:13,5:41,12,11,1.49,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:17.7,9,NaN,0:49:58,0:50:20,"5,495","5,510"
Running,9/27/2024 7:07,FALSE,Douglas County Running,6.81,621,0:45:00,163,189,173,232,6:37,6:01,417,440,1.41,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,05:16.3,7,NaN,0:44:54,0:49:24,"5,797","6,001"
Running,9/26/2024 6:56,FALSE,Douglas County Running,6.64,611,0:45:00,164,185,170,188,6:46,5:02,96,89,1.39,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,04:38.7,7,NaN,0:44:51,0:45:37,"5,502","5,563"
Running,9/25/2024 7:45,FALSE,Douglas County Running,6.73,639,0:45:00,162,187,171,182,6:41,5:53,590,587,1.4,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,04:58.1,7,NaN,0:44:55,0:47:27,"5,860","6,270"
Running,9/24/2024 6:43,FALSE,Douglas County Running,6,576,0:40:03,167,188,171,180,6:40,5:42,346,352,1.41,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,00:01.0,7,NaN,0:40:00,0:40:08,"6,290","6,604"
Running,9/23/2024 7:25,FALSE,Douglas County Running,5.36,494,0:35:01,164,190,171,181,6:32,6:02,393,391,1.44,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,02:14.9,6,NaN,0:34:49,0:36:54,"5,878","6,045"
Running,9/21/2024 13:15,FALSE,Douglas County Running,1.69,156,0:12:11,162,179,164,178,7:12,6:39,118,109,1.36,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,04:56.7,2,NaN,0:11:47,0:12:11,"5,838","5,874"
Running,9/21/2024 8:34,FALSE,Douglas County Running,5.5,536,0:38:26,167,188,167,176,6:59,6:06,253,248,1.38,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,03:28.7,6,NaN,0:38:10,0:41:02,"5,854","6,029"
Running,9/14/2024 10:00,FALSE,Littleton Running,0.28,24,03:42.5,110,123,145,171,13:23,10:16,17,28,0.83,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,03:42.5,1,NaN,0:03:34,0:10:48,"5,474","5,505"
Running,9/7/2024 6:00,FALSE,Payson Utah marathon,26.33,"2,329",2:34:22,180,204,173,188,5:52,4:10,733,"5,299",1.59,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,No,02:00.4,27,NaN,2:34:11,2:34:22,"4,682","9,339"
