Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-09-25 06:10:03,false,"Winston-Salem Running","7.01","661","00:55:41","163","204","178","190","7:57","6:02","24","20","1.14","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:08.2","8","NaN","00:55:19","01:18:13","746","767"
Running,2024-09-23 18:17:01,false,"Winston-Salem Running","3.04","309","00:29:24","144","167","174","184","9:41","8:30","147","146","0.96","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:22.1","4","NaN","00:29:19","00:29:41","844","958"
Cardio,2024-09-23 17:17:37,false,"Cardio","0.00","264","00:40:17","115","156","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:40:17","1","NaN","00:00:00","00:40:17","--","--"
Cardio,2024-09-22 13:12:00,false,"Cardio","0.00","124","00:49:25","79","109","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:49:25","1","NaN","00:00:00","00:49:25","688","688"
Running,2024-09-22 08:10:58,false,"Winston-Salem Running","6.05","627","00:58:09","150","160","173","184","9:37","8:47","152","148","0.97","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:29.5","7","NaN","00:58:03","00:58:24","721","778"
Running,2024-09-21 06:36:35,false,"Winston-Salem Running","16.01","1,691","02:27:31","160","191","174","188","9:13","6:51","958","962","1.01","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:04.6","17","NaN","02:27:16","02:39:40","751","983"
Running,2024-09-20 13:00:02,false,"Winston-Salem Running","5.01","480","00:47:29","145","163","168","205","9:29","6:32","203","203","1.01","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:05.6","6","NaN","00:47:15","00:54:11","795","922"
Running,2024-09-19 07:24:29,false,"Lookout Mountain Running","2.06","207","00:20:27","140","158","170","224","9:55","7:42","82","126","0.96","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:33.4","3","NaN","00:20:26","00:22:18","1,604","1,707"
Running,2024-09-18 06:07:48,false,"Winston-Salem Running","8.01","593","01:02:00","146","182","177","240","7:44","5:12","61","62","1.17","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:06.6","9","NaN","01:00:30","01:49:52","746","767"
Running,2024-09-17 17:43:22,false,"Winston-Salem Running","6.01","528","01:00:00","136","157","168","180","9:59","8:19","279","275","0.96","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:06.0","7","NaN","00:59:45","01:12:19","784","971"
Cardio,2024-09-16 16:16:55,false,"Cardio","0.00","228","00:50:11","102","132","--","--","--","--","--","--","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:50:11","1","NaN","00:00:00","00:50:11","--","--"
Running,2024-09-15 17:17:43,false,"Winston-Salem Running","8.04","700","01:21:17","135","157","171","188","10:07","8:19","411","417","0.93","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:24.0","9","NaN","01:20:59","01:31:51","720","910"
Running,2024-09-14 06:09:38,false,"Winston-Salem Running","20.00","2,165","02:56:57","170","190","178","190","8:51","7:34","1,120","1,119","1.02","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","No","00:00:05.8","21","NaN","02:56:32","03:15:56","742","972"
