Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
8751314673,"Feb 15, 2023, 8:09:07 AM",Frb Have & Søndermarken,Run,"",2974,8.34,179.0,120,false,,"",activities/9392391056.gpx.gz,,,2974.0,2558.0,8341.3642578125,4.9726996421813965,3.260892868041992,52.349998474121094,51.45000076293945,7.300000190734863,34.79999923706055,10.578886985778809,0.010789602063596249,,,,,,168.67669677734375,,,819.5064697265625,,,120.0,,,,,,,,,,,,,0.0,,1.0,8442.7998046875,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,2.804762601852417,4014.89990234375,,,,,,,,,,,,""
8751314714,"Feb 4, 2023, 11:24:42 AM",Kalvebod Fælled,Run,"",7191,19.61,177.0,272,false,,"",activities/9392391092.gpx.gz,,,7191.0,6973.0,19618.37890625,9.030045509338379,2.8134775161743164,29.83333396911621,21.533300399780273,-2.4000000953674316,11.699999809265137,15.101984977722168,0.04230726882815361,,,,,,163.7027130126953,,,1909.884521484375,,,272.0,,,,,,,,,,,,,0.0,,1.0,19676.19921875,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,2.728184938430786,7982.5,,,,,,,,,,,,""
8751314718,"Jan 21, 2023, 8:30:11 AM",Amager & Kalvebod,Run,"",7377,19.38,179.0,263,false,,"",activities/9392391115.gpx.gz,,,7377.0,7265.0,19380.353515625,7.517355918884277,2.667632818222046,44.119998931884766,44.31999969482422,-0.800000011920929,11.699999809265137,12.623982429504395,-0.0010319729335606098,,,,,,162.92153930664062,,,1887.7923583984375,,,263.0,,,,,,,,,,,,,0.0,,1.0,19448.599609375,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,2.627131938934326,6828.7001953125,,,,,,,,,,,,""
8751314723,"Jan 29, 2023, 11:30:15 AM",Cph Airport / Dragør,Run,"",8198,22.26,176.0,290,false,,"",activities/9392391104.gpx.gz,,,8198.0,8160.0,22259.8828125,9.375364303588867,2.7279269695281982,9.916666984558105,8.516670227050781,-0.10000000149011612,8.0,4.132900714874268,0.0062893410213291645,,,,,,161.20294189453125,,,2161.77978515625,,,290.0,,,,,,,,,,,,,0.0,,1.0,22271.30078125,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,2.7152822017669678,3375.10009765625,,,,,,,,,,,,""
8751314729,"Feb 12, 2023, 8:49:59 AM",Damhussø og Valby parken,Run,"",8985,23.65,175.0,308,false,,"",activities/9392391062.gpx.gz,,,8985.0,8352.0,23656.9375,14.109781265258789,2.8324878215789795,86.7171401977539,86.21710205078125,2.200000047683716,34.70000076293945,9.760185241699219,0.002113544847816229,,,,,,162.3662567138672,,,2308.455810546875,,,308.0,,,,,,,,,,,,,0.0,,1.0,23782.400390625,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,2.632936954498291,8414.099609375,,,,,,,,,,,,""
8774089138,"Mar 23, 2023, 1:45:56 PM",Afternoon Run,Run,"",2639,8.05,177.0,109,false,"","",activities/9416255811.gpx.gz,,,2639.0,2566.0,8054.95361328125,6.2891435623168945,3.139108896255493,2.323333263397217,2.8233299255371094,7.099999904632568,10.899999618530273,2.051687002182007,-0.006207360420376062,,,,,,164.8838653564453,,,782.2041015625,,,109.0,,,,,,,,,,,,,0.0,,1.0,8058.5,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,3.0522749423980713,2949.5,,,,,,,,,,,,""
8774096344,"Mar 25, 2023, 9:14:03 AM",Kalvebod Fælled,Run,"",8614,26.11,180.0,415,false,"","",activities/9416263252.gpx.gz,,,8614.0,8455.0,26118.365234375,6.948777198791504,3.0891029834747314,37.4466667175293,37.54669952392578,-2.200000047683716,12.300000190734863,5.499180793762207,-0.0003828723565675318,,,,,,169.83204650878906,,,2539.8603515625,,,415.0,,,,,,3.0,,,,,,70.0,0.0,,1.0,26166.400390625,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,3.03208327293396,7361.5,,,,,,,,,,,,""
8816787036,"Mar 28, 2023, 12:12:21 PM",Afternoon Run,Run,"",3250,10.18,178.0,113,false,"","",activities/9461303184.gpx.gz,,,3250.0,2977.0,10183.7744140625,10.406599998474121,3.4208176136016846,18.350000381469727,18.649999618530273,7.0,19.100000381469727,3.054720640182495,-0.0029458627104759216,,,,,,162.713134765625,,,989.9150390625,,,113.0,,,,,,,,,,,,,0.0,,1.0,10198.400390625,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,3.1334691047668457,1983.9000244140625,,,,,,,,,,,,""
8816787118,"Apr 1, 2023, 8:59:33 AM",Memory lane,Run,"",10407,30.26,186.0,443,false,"","",activities/9461303195.gpx.gz,,,10407.0,10012.0,30268.37109375,6.854306697845459,3.0232093334198,216.9152374267578,216.51499938964844,12.699999809265137,70.0,10.662904739379883,0.0013215114595368505,,,,,,167.45594787597656,,,2969.259765625,,,443.0,,,,,,,,,,,,,0.0,,1.0,30590.19921875,,,,,,,,,,,,,,,,12952077.0,,,,,,,,,,0.0,2.9084627628326416,5304.39990234375,,,,,,,,,,,,""
8847140641,"Apr 6, 2023, 9:25:24 AM",Lunch Run,Run,"",2655,8.09,180.0,116,false,,,activities/9493259210.fit.gz,,,2655.0,2519.0,8091.669921875,6.871996879577637,3.212254762649536,2.1500000953674316,1.75,6.900000095367432,10.600000381469727,4.037677764892578,0.004943355452269316,,,,,,167.91114807128906,,,675.0,,,116.0,,,,,,,,,,,0.0,,0.0,,1.0,8100.2001953125,,,,,,,,,,,,,,,,13091598.0,,,,,,,,,,0.0,3.0477099418640137,3574.39990234375,,,,,,,,,,,,""
