ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque maximum,Mesure d'effort,Déplacement-transport,Note privée sur les activités,Matériel utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque maximum,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Mesure d'effort,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,Type,Heure de début,Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Mesure d'effort ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,Nombre de sauts,Grit total,Flow moyen,Signalé,Vitesse moyenne (temps écoulé),Distance sur chemin,Distance récemment découverte,Distance sur chemin récemment découverte,Nombre d'activités,Nombre total de pas,CO2 économisé,Longueur de piscine,Charge d’entraînement,Intensité,Vitesse moyenne ajustée selon la pente,Temps enregistré par le chronomètre,Nombre total de cycles,Support
390455960,12 sept. 2015 à 08:52:01,Morning Run,Course à pied,,9998,"21,74",181.0,276,false,,,activities/439245673.tcx.gz,78.0,,9998.0,7697.0,21747.5,5.199999809265137,,544.4000244140625,,50.0,188.0,31.799999237060547,0.09196459501981735,,,93.0,78.25550079345703,181.0,164.7191162109375,,,2188.649658203125,,,276.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
391043955,13 sept. 2015 à 05:55:31,Morning Run,Course à pied,,3859,"11,12",167.0,78,false,,,activities/439857840.tcx.gz,78.0,,3859.0,3400.0,11120.0,7.400000095367432,,68.0,,42.0,70.0,10.600000381469727,0.03597119823098183,,,92.0,87.46649932861328,167.0,152.80599975585938,,,1071.3048095703125,,,78.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
393073135,15 sept. 2015 à 20:29:23,Night Run,Course à pied,,1358,"5,18",172.0,40,false,,,activities/441962497.tcx.gz,78.0,,1358.0,1358.0,5183.7001953125,9.5,,20.0,,69.0,140.0,5.400000095367432,-1.0803099870681763,,,92.0,86.89099884033203,172.0,159.7790069580078,,,477.2109680175781,,,40.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
393741141,16 sept. 2015 à 20:02:18,Night Run,Course à pied,,2643,"9,23",178.0,76,false,,,activities/442649060.tcx.gz,78.0,,2643.0,2633.0,9231.400390625,7.199999809265137,,52.599998474121094,,56.0,90.0,15.800000190734863,-0.07149510085582733,,,92.0,88.49369812011719,178.0,159.36099243164062,,,886.1092529296875,,,76.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
394378632,17 sept. 2015 à 19:22:57,Night Run,Course à pied,,2852,"10,28",179.0,98,false,,,activities/443306498.tcx.gz,78.0,,2852.0,2831.0,10287.400390625,7.5,,80.0,,76.0,145.0,7.800000190734863,-0.07776500284671783,,,89.0,87.2344970703125,179.0,162.24200439453125,,,989.392822265625,,,98.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
395015866,18 sept. 2015 à 20:51:13,Night Run,Course à pied,,2140,"7,70",175.0,64,false,,,activities/443965523.tcx.gz,78.0,,2140.0,2140.0,7706.7998046875,6.800000190734863,,79.0,,61.0,135.0,10.0,-0.07785332202911377,,,91.0,88.63784790039062,175.0,159.78457641601562,,,742.85205078125,,,64.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
395312397,19 sept. 2015 à 09:59:11,Lunch Run,Course à pied,,3244,"12,06",189.0,144,false,,,activities/444274662.tcx.gz,78.0,,3244.0,3226.0,12062.599609375,7.099999904632568,,65.0,,43.0,71.0,6.0,-0.04145043343305588,,,93.0,89.11128234863281,189.0,169.1153106689453,,,1159.1968994140625,,,144.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
396591591,20 sept. 2015 à 09:25:57,Lunch Run,Course à pied,,5474,"17,69",176.0,147,false,,,activities/445636392.tcx.gz,78.0,,5474.0,5089.0,17694.900390625,6.099999904632568,,100.0,,44.0,70.0,18.299999237060547,-0.03955942019820213,,,114.0,88.37983703613281,176.0,158.15150451660156,,,1707.56689453125,,,147.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
397554227,22 sept. 2015 à 04:19:18,Morning Run,Course à pied,,2223,"8,01",182.0,69,false,,,activities/446658127.tcx.gz,78.0,,2223.0,2206.0,8017.60009765625,7.900000095367432,,85.0,,80.0,156.0,12.5,0.0,,,94.0,89.66001892089844,182.0,159.5806884765625,,,776.8262939453125,,,69.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
398747839,23 sept. 2015 à 17:07:44,Evening Run,Course à pied,,2457,"8,02",175.0,62,false,,,activities/447885084.tcx.gz,78.0,,2457.0,2371.0,8026.39990234375,7.0,,93.0,,68.0,156.0,41.400001525878906,-0.13704800605773926,,,90.0,85.6771011352539,175.0,154.34800720214844,,,781.9152221679688,,,62.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
